,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Data Captured At
Sales +,"12,220","13,615","14,271","15,062","16,825","19,240","20,211","21,713","29,101","34,489","35,495","33,906","08:29 AM IST, Tuesday, May 27, 2025"
Expenses +,"10,217","11,372","11,546","12,068","13,621","15,475","16,054","16,857","24,298","28,229","27,910","27,899","08:29 AM IST, Tuesday, May 27, 2025"
Operating Profit,"2,004","2,243","2,725","2,994","3,204","3,765","4,157","4,856","4,804","6,260","7,585","6,006","08:29 AM IST, Tuesday, May 27, 2025"
OPM %,16%,16%,19%,20%,19%,20%,21%,22%,17%,18%,21%,18%,"08:29 AM IST, Tuesday, May 27, 2025"
Other Income +,124,142,213,338,336,274,355,332,296,431,821,350,"08:29 AM IST, Tuesday, May 27, 2025"
Interest,48,42,49,37,41,110,102,92,95,144,205,227,"08:29 AM IST, Tuesday, May 27, 2025"
Depreciation,246,266,276,335,360,622,780,791,816,858,853,"1,026","08:29 AM IST, Tuesday, May 27, 2025"
Profit before tax,"1,834","2,077","2,614","2,960","3,138","3,306","3,629","4,304","4,188","5,689","7,348","5,103","08:29 AM IST, Tuesday, May 27, 2025"
Tax %,31%,31%,32%,32%,33%,33%,24%,26%,26%,26%,24%,27%,"08:29 AM IST, Tuesday, May 27, 2025"
Net Profit +,"1,263","1,427","1,803","2,016","2,098","2,208","2,774","3,207","3,085","4,195","5,558","3,710","08:29 AM IST, Tuesday, May 27, 2025"
EPS in Rs,12.71,14.54,18.19,20.22,21.26,22.48,28.20,32.73,31.59,42.81,56.92,38.23,"08:29 AM IST, Tuesday, May 27, 2025"
Dividend Payout %,42%,42%,41%,51%,41%,47%,43%,55%,61%,60%,58%,65%,"08:29 AM IST, Tuesday, May 27, 2025"
