,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,626,"1,093","1,709","1,935","2,616","3,393","3,488","4,115","4,101","5,036","5,087","5,369","5,511"
Expenses +,575,982,"1,526","1,704","2,284","2,708","3,078","3,659","3,639","4,722","4,692","4,909","4,925"
Operating Profit,52,112,182,231,332,684,410,456,461,314,395,460,586
OPM %,8%,10%,11%,12%,13%,20%,12%,11%,11%,6%,8%,9%,11%
Other Income +,1,4,9,20,23,49,59,71,93,54,79,136,153
Interest,4,4,3,3,5,5,5,4,3,4,4,3,2
Depreciation,5,6,9,10,14,24,36,38,41,41,43,56,59
Profit before tax,44,105,180,238,337,704,428,485,510,324,427,537,677
Tax %,32%,34%,35%,33%,33%,34%,28%,20%,22%,24%,27%,27%,
Net Profit +,30,70,116,158,226,466,307,386,397,245,312,394,512
EPS in Rs,2.21,5.18,8.52,11.56,15.83,32.78,20.08,25.43,26.43,16.26,20.45,26.21,35.31
Dividend Payout %,20%,19%,22%,20%,19%,12%,20%,20%,24%,38%,31%,24%,
