,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,82,53,62,89,124,112,139,147,161,175,223,256,270
Expenses +,72,45,57,72,103,90,109,114,127,132,158,188,195
Operating Profit,10,8,5,18,21,22,30,33,34,43,65,68,75
OPM %,12%,15%,8%,20%,17%,19%,22%,22%,21%,25%,29%,26%,28%
Other Income +,5,3,5,3,1,0,4,2,4,1,2,10,4
Interest,2,2,3,3,4,2,4,4,4,2,3,2,4
Depreciation,0,0,0,0,0,0,0,1,1,1,1,1,1
Profit before tax,13,9,7,17,17,19,30,30,35,42,64,74,74
Tax %,20%,17%,34%,33%,12%,13%,22%,16%,18%,18%,25%,20%,15%
Net Profit +,11,7,5,11,15,17,23,25,28,34,48,59,63
EPS in Rs,1.29,0.89,0.58,1.37,1.83,2.00,2.32,2.46,2.76,3.33,4.39,5.39,5.73
Raw PDF,,,,,,,,,,,,,
