,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,303,283,287,277,283,273,277,273,258,248,249,261,248
Expenses +,248,242,250,239,249,244,235,233,218,221,221,233,220
Operating Profit,55,41,38,37,34,29,42,40,40,27,28,27,28
OPM %,18%,14%,13%,14%,12%,11%,15%,15%,16%,11%,11%,10%,11%
Other Income +,28,5,39,43,27,50,52,51,57,55,69,55,67
Interest,0,0,0,1,1,1,1,1,1,1,1,1,0
Depreciation,33,32,28,30,29,28,29,28,28,26,27,26,26
Profit before tax,50,14,49,50,31,50,64,62,69,55,69,55,69
Tax %,4%,8%,1%,1%,-304%,15%,29%,23%,-12%,22%,25%,24%,13%
Net Profit +,49,13,48,49,126,42,46,48,77,43,52,42,60
EPS in Rs,1.05,0.27,1.00,1.03,2.80,0.89,0.96,0.99,1.66,0.95,1.09,0.84,1.30
Raw PDF,,,,,,,,,,,,,
