,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,241,335,376,330,286,364,365,305,281,349,363,334,299
Expenses +,277,293,333,306,285,320,319,280,255,300,315,304,273
Operating Profit,-36,42,43,24,1,44,46,25,26,50,48,29,26
OPM %,-15%,13%,11%,7%,0%,12%,13%,8%,9%,14%,13%,9%,9%
Other Income +,1,0,0,0,8,3,0,0,-0,0,1,0,0
Interest,10,11,16,10,21,9,8,8,7,7,6,7,6
Depreciation,7,7,7,7,7,7,7,7,9,8,7,7,8
Profit before tax,-52,25,21,8,-19,30,31,10,9,35,35,16,12
Tax %,-26%,14%,30%,28%,-25%,18%,18%,19%,9%,17%,16%,18%,14%
Net Profit +,-38,22,15,5,-14,25,25,8,8,29,30,13,10
EPS in Rs,-5.28,3.01,2.03,0.75,-1.98,3.42,3.50,1.16,1.11,4.04,4.07,1.80,1.43
Raw PDF,,,,,,,,,,,,,
