,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,673,722,598,530,617,671,614,562,547,571,568,478,542
Expenses +,516,538,419,398,493,520,512,476,506,533,471,411,608
Operating Profit,157,184,179,132,123,151,102,87,41,39,97,67,-66
OPM %,23%,25%,30%,25%,20%,23%,17%,15%,8%,7%,17%,14%,-12%
Other Income +,17,21,20,40,42,68,63,30,64,41,63,112,48
Interest,1,4,7,8,7,9,9,10,9,8,9,9,12
Depreciation,21,21,23,25,33,38,38,47,50,48,48,51,55
Profit before tax,152,180,168,139,125,172,118,59,46,24,103,119,-85
Tax %,25%,26%,23%,25%,20%,19%,18%,27%,29%,3%,20%,30%,-13%
Net Profit +,129,159,169,105,100,139,96,44,33,23,82,83,-74
EPS in Rs,6.70,8.24,8.75,5.42,5.17,7.21,4.97,2.26,1.71,1.19,4.26,4.32,-3.82
Raw PDF,,,,,,,,,,,,,
