,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,341,314,294,281,285,299,234,238,391,304,345,373,373
Expenses +,"1,112",90,82,97,52,95,78,76,205,124,139,162,161
Operating Profit,-772,224,212,184,233,204,157,162,185,180,206,211,211
OPM %,-227%,71%,72%,65%,82%,68%,67%,68%,47%,59%,60%,57%,57%
Other Income +,0,0,0,0,4,0,15,7,19,19,21,17,26
Interest,139,148,146,135,150,154,141,145,162,167,188,193,193
Depreciation,10,10,10,10,9,8,6,7,7,8,8,7,8
Profit before tax,-920,66,56,39,77,42,25,17,35,25,32,28,36
Tax %,-18%,8%,8%,5%,2%,7%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-754,61,52,37,76,39,25,17,35,25,32,28,36
EPS in Rs,-55.38,4.48,3.79,2.69,5.58,2.86,1.82,1.24,2.59,1.83,2.33,2.04,2.66
Raw PDF,,,,,,,,,,,,,
