,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024
Sales +,479,567,534,581,623,709,598,650,657,749,642,596,579
Expenses +,454,540,520,587,588,649,540,587,577,626,538,530,516
Operating Profit,25,27,14,-6,35,60,58,63,80,122,105,66,62
OPM %,5%,5%,3%,-1%,6%,9%,10%,10%,12%,16%,16%,11%,11%
Other Income +,2,7,3,"2,521",3,3,4,2,3,-12,8,-5,3
Interest,68,66,70,-190,5,8,5,2,4,3,2,3,3
Depreciation,15,16,16,16,14,14,14,18,13,22,23,29,19
Profit before tax,-56,-48,-69,"2,689",19,42,43,45,67,85,87,29,43
Tax %,0%,0%,0%,5%,-7%,27%,32%,81%,39%,39%,29%,33%,32%
Net Profit +,-56,-48,-69,"2,546",20,30,29,8,41,51,62,19,29
EPS in Rs,-3.80,-3.25,-4.70,84.74,0.67,1.01,0.96,0.28,1.35,1.71,2.06,0.65,0.97
Raw PDF,,,,,,,,,,,,,
