,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,107.40,36.72,96.91,119.77,226.85,87.99,103.83,93.52
Expenses +,89.39,29.17,74.79,79.47,195.59,78.61,91.94,87.17
Operating Profit,18.01,7.55,22.12,40.30,31.26,9.38,11.89,6.35
OPM %,16.77%,20.56%,22.83%,33.65%,13.78%,10.66%,11.45%,6.79%
Other Income +,1.44,1.37,-0.21,0.79,1.31,2.76,3.55,3.40
Interest,2.25,1.94,1.68,3.78,2.58,3.62,2.12,5.24
Depreciation,2.98,1.07,1.43,1.55,1.57,1.26,1.49,1.60
Profit before tax,14.22,5.91,18.80,35.76,28.42,7.26,11.83,2.91
Tax %,25.11%,33.67%,35.21%,16.41%,41.41%,12.12%,34.49%,2.06%
Net Profit +,10.66,3.92,12.18,29.90,16.65,6.38,7.75,2.84
EPS in Rs,11.10,0.81,2.52,6.18,3.44,1.15,1.39,0.51
Raw PDF,,,,,,,,
