,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,226,247,260,313,299,332,340,372,348,360,396,472,420
Expenses +,195,207,237,257,257,272,277,306,287,305,334,394,355
Operating Profit,31,40,23,56,42,59,62,66,61,55,63,78,64
OPM %,14%,16%,9%,18%,14%,18%,18%,18%,17%,15%,16%,16%,15%
Other Income +,3,3,5,4,7,6,6,8,9,10,14,12,11
Interest,6,6,6,6,6,7,7,6,6,7,7,9,8
Depreciation,12,12,12,12,13,15,17,17,17,19,20,24,24
Profit before tax,16,25,10,42,30,44,45,50,47,39,49,57,44
Tax %,29%,29%,35%,26%,29%,25%,27%,26%,26%,29%,28%,17%,28%
Net Profit +,11,18,7,31,21,33,33,37,35,28,36,47,32
EPS in Rs,7.58,10.36,1.11,17.92,12.88,20.58,20.28,20.64,20.40,13.78,19.59,25.90,16.20
Raw PDF,,,,,,,,,,,,,
