,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,880,757,652,655,730,729,652,694,792,718,771,786,710
Expenses +,795,656,624,600,672,652,613,642,702,647,697,712,651
Operating Profit,85,100,29,55,58,77,39,52,90,71,75,75,59
OPM %,10%,13%,4%,8%,8%,11%,6%,8%,11%,10%,10%,10%,8%
Other Income +,2,2,3,3,7,4,8,5,8,12,7,6,1
Interest,5,2,4,6,-1,5,2,1,-1,3,8,2,7
Depreciation,13,14,17,19,23,21,28,28,31,26,27,31,40
Profit before tax,69,87,10,34,43,56,18,30,68,54,46,47,13
Tax %,-1%,26%,15%,19%,43%,31%,39%,8%,35%,36%,39%,38%,-64%
Net Profit +,70,64,9,27,24,38,11,27,44,34,28,29,22
EPS in Rs,2.65,2.43,0.32,1.03,0.92,1.44,0.40,0.99,1.61,1.24,1.02,1.06,0.79
Raw PDF,,,,,,,,,,,,,
