,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,14.32,2.42,2.08,7.40,11.01,8.26,10.31,17.49,22.96,10.71,27.46,11.75,44.85
Expenses +,14.58,3.16,2.60,7.07,8.60,6.16,7.32,14.90,17.55,8.12,23.82,8.30,36.49
Operating Profit,-0.26,-0.74,-0.52,0.33,2.41,2.10,2.99,2.59,5.41,2.59,3.64,3.45,8.36
OPM %,-1.82%,-30.58%,-25.00%,4.46%,21.89%,25.42%,29.00%,14.81%,23.56%,24.18%,13.26%,29.36%,18.64%
Other Income +,0.94,0.24,1.26,-0.28,0.72,0.22,6.78,0.82,0.86,0.22,0.23,0.49,0.31
Interest,0.63,0.12,0.21,0.30,0.16,0.54,0.48,0.35,0.42,0.46,1.35,1.38,1.42
Depreciation,0.96,0.62,0.54,0.67,0.54,0.55,0.38,0.35,0.37,0.39,0.39,0.39,0.44
Profit before tax,-0.91,-1.24,-0.01,-0.92,2.43,1.23,8.91,2.71,5.48,1.96,2.13,2.17,6.81
Tax %,7.69%,0.00%,0.00%,0.00%,0.00%,-0.81%,1.23%,0.00%,-804.93%,0.00%,0.00%,0.00%,47.58%
Net Profit +,-0.98,-1.24,-0.01,-0.92,2.43,1.24,8.80,2.71,49.59,1.97,2.13,2.17,3.57
EPS in Rs,-0.05,-0.06,-0.00,-0.04,0.11,0.06,0.39,0.12,2.24,0.08,0.09,0.09,0.15
Raw PDF,,,,,,,,,,,,,
