,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,100,113,120,122,118,136,145,183,195,187,187,204,194
Interest,50,47,50,52,59,60,60,64,86,83,77,82,86
Expenses +,28,36,37,32,25,24,20,42,59,47,42,38,43
Financing Profit,22,29,33,38,33,53,64,77,50,57,68,84,65
Financing Margin %,22%,26%,28%,31%,28%,39%,45%,42%,26%,30%,36%,41%,33%
Other Income +,-0,0,0,0,-5,0,0,0,0,0,0,0,1
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,2
Profit before tax,21,29,33,37,28,52,64,76,50,56,67,82,63
Tax %,28%,27%,26%,25%,26%,26%,25%,26%,26%,26%,26%,24%,27%
Net Profit +,15,21,24,28,21,38,47,56,37,41,50,62,46
EPS in Rs,0.17,0.24,0.27,0.31,0.23,0.43,0.53,0.63,0.41,0.46,0.56,0.70,0.51
Gross NPA %,,,,,,0.26%,,,,,,1.05%,
Net NPA %,,,,,,0.04%,,,,,,0.80%,
Raw PDF,,,,,,,,,,,,,
