,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,885.87","2,032.58","2,089.29","1,863.34","1,667.07","1,560.52","1,572.09","1,495.57","1,678.69","1,685.60","1,738.86","1,721.16","1,739.56"
Expenses +,"1,506.84","1,672.57","1,847.71","1,759.75","1,611.70","1,499.29","1,451.46","1,446.05","1,582.12","1,521.69","1,547.95","1,599.93","1,675.66"
Operating Profit,379.03,360.01,241.58,103.59,55.37,61.23,120.63,49.52,96.57,163.91,190.91,121.23,63.90
OPM %,20.10%,17.71%,11.56%,5.56%,3.32%,3.92%,7.67%,3.31%,5.75%,9.72%,10.98%,7.04%,3.67%
Other Income +,61.17,74.72,85.74,57.21,64.15,12.42,23.59,44.67,16.79,25.92,100.35,107.45,17.73
Interest,4.81,6.61,7.35,9.97,11.34,11.81,9.95,10.29,10.33,12.83,10.57,11.52,11.16
Depreciation,72.35,71.20,72.25,75.18,77.65,74.66,75.14,75.43,81.90,69.59,78.70,75.61,76.08
Profit before tax,363.04,356.92,247.72,75.65,30.53,-12.82,59.13,8.47,21.13,107.41,201.99,141.55,-5.61
Tax %,16.14%,12.86%,19.20%,-11.17%,33.61%,-19.58%,18.40%,-101.53%,-48.46%,9.57%,18.75%,25.73%,54.19%
Net Profit +,304.44,311.01,200.16,84.10,20.27,-10.31,48.25,17.07,31.37,97.13,164.11,105.13,-8.65
EPS in Rs,59.18,59.58,36.64,12.32,2.42,-0.99,8.90,1.47,2.68,17.05,27.97,18.40,3.22
Raw PDF,,,,,,,,,,,,,
