,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,328","2,400","1,938","1,428","2,317","2,632","1,681","2,236","1,796","2,164","1,862","2,304","1,654"
Expenses +,965,"1,901","1,479","1,061","1,745","1,950","1,158","1,651","1,261","1,336","1,079","1,684","1,071"
Operating Profit,362,500,459,367,572,682,522,585,535,828,784,620,583
OPM %,27%,21%,24%,26%,25%,26%,31%,26%,30%,38%,42%,27%,35%
Other Income +,20,903,223,193,30,341,285,"1,020",175,108,162,119,43
Interest,129,174,185,186,201,235,238,264,293,424,346,356,345
Depreciation,113,130,147,163,170,168,166,174,180,197,190,200,205
Profit before tax,140,"1,098",351,211,232,620,404,"1,167",237,314,409,183,77
Tax %,33%,14%,28%,30%,30%,19%,21%,22%,31%,25%,25%,-28%,58%
Net Profit +,94,945,251,149,162,505,318,910,165,236,307,235,32
EPS in Rs,2.20,23.43,5.11,3.51,3.19,11.68,6.66,21.23,2.90,3.49,5.80,4.46,0.41
Raw PDF,,,,,,,,,,,,,
