,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,400,489,525,526,514,611,625,604,597,647,632,639,633
Expenses +,380,460,500,497,487,562,569,536,528,584,569,570,559
Operating Profit,20,29,25,30,27,48,56,68,69,63,63,70,73
OPM %,5%,6%,5%,6%,5%,8%,9%,11%,12%,10%,10%,11%,12%
Other Income +,-16,13,11,8,4,7,3,4,5,14,0,9,8
Interest,27,23,24,26,32,31,32,32,47,37,38,40,46
Depreciation,59,70,67,68,80,79,79,80,119,92,91,93,96
Profit before tax,-82,-51,-55,-56,-80,-54,-51,-40,-92,-52,-65,-55,-60
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit +,-82,-51,-55,-56,-80,-54,-51,-40,-92,-52,-65,-55,-60
EPS in Rs,-1.36,-0.96,-1.01,-1.02,-1.48,-1.02,-0.93,-0.73,-1.72,-0.99,-1.21,-1.01,-0.97
Raw PDF,,,,,,,,,,,,,
