,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,109,101,120,123,103,98,103,96,109,123,135,145,148
Expenses +,78,74,90,94,89,89,88,92,107,118,130,138,141
Operating Profit,31,27,30,29,14,9,15,5,2,5,5,6,7
OPM %,28%,27%,25%,24%,14%,9%,14%,5%,2%,4%,3%,4%,5%
Other Income +,5,-6,16,11,8,22,10,18,21,17,19,9,10
Interest,0,0,0,0,0,0,0,0,0,1,1,1,1
Depreciation,2,2,2,2,2,2,2,2,2,3,4,4,4
Profit before tax,34,20,44,39,21,29,23,21,21,19,19,11,13
Tax %,21%,25%,18%,19%,18%,11%,21%,16%,18%,7%,37%,17%,9%
Net Profit +,27,15,36,31,17,26,18,18,17,18,12,9,12
EPS in Rs,17.86,10.12,23.87,20.76,11.34,17.08,12.01,11.79,11.40,12.04,7.98,6.00,7.29
Raw PDF,,,,,,,,,,,,,
