,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,737,701,722,761,729,645,613,879,845,810,813,967,850
Expenses +,665,635,644,685,651,567,547,803,765,750,743,879,817
Operating Profit,72,66,78,76,78,78,66,76,81,60,69,88,33
OPM %,10%,9%,11%,10%,11%,12%,11%,9%,10%,7%,9%,9%,4%
Other Income +,16,18,23,28,18,13,24,32,70,61,32,7,61
Interest,2,5,5,5,7,8,9,25,27,28,28,29,35
Depreciation,24,21,20,22,26,23,22,30,41,40,48,45,50
Profit before tax,62,58,75,77,63,60,60,53,83,53,25,21,9
Tax %,20%,27%,29%,20%,31%,28%,26%,27%,17%,12%,63%,14%,-140%
Net Profit +,49,43,54,61,44,43,44,31,65,47,9,19,22
EPS in Rs,5.04,4.31,5.44,6.20,4.43,4.41,4.04,2.83,5.94,4.23,0.90,1.73,1.98
Raw PDF,,,,,,,,,,,,,
