,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,549,323,"1,004",878,552,504,675,878,543,483,870,"1,026",671
Expenses +,171,181,176,166,171,326,192,172,175,256,224,198,214
Operating Profit,379,143,828,713,381,178,483,706,368,227,646,828,457
OPM %,69%,44%,82%,81%,69%,35%,72%,80%,68%,47%,74%,81%,68%
Other Income +,63,75,108,86,177,68,71,89,49,195,89,92,91
Interest,38,82,144,117,105,49,90,124,122,121,143,198,222
Depreciation,102,103,100,105,105,86,101,102,112,242,131,133,137
Profit before tax,301,32,691,577,347,112,363,569,183,58,462,590,189
Tax %,22%,77%,12%,23%,17%,85%,25%,23%,24%,-5%,23%,25%,21%
Net Profit +,235,7,609,445,287,17,272,440,139,61,357,440,149
EPS in Rs,0.60,0.02,1.55,1.13,0.73,0.04,0.69,1.12,0.35,0.16,0.91,1.12,0.38
Raw PDF,,,,,,,,,,,,,
