,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,464","1,779","1,496","2,261","1,914","2,016","1,913","2,493","2,192","2,527","2,170","2,843","2,617"
Expenses +,"1,356","1,637","1,341","2,105","1,762","1,837","1,715","2,286","2,047","2,351","1,993","2,679","2,445"
Operating Profit,108,142,155,156,152,178,197,208,144,176,177,164,173
OPM %,7%,8%,10%,7%,8%,9%,10%,8%,7%,7%,8%,6%,7%
Other Income +,45,18,11,17,25,28,23,-155,55,19,19,21,11
Interest,4,4,4,4,7,21,21,22,22,20,19,16,10
Depreciation,13,13,14,14,19,31,33,34,34,33,33,32,23
Profit before tax,136,143,148,155,150,154,167,-3,144,142,144,137,151
Tax %,26%,25%,24%,24%,24%,22%,25%,"1,389%",23%,25%,26%,23%,29%
Net Profit +,101,108,113,118,114,120,124,-46,110,106,106,105,108
EPS in Rs,3.60,3.84,4.02,4.20,4.06,4.28,4.43,-1.65,3.94,3.77,3.80,3.74,3.83
Raw PDF,,,,,,,,,,,,,
