,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,749,665,594,617,829,760,585,651,914,751,642,719,"1,052"
Expenses +,636,541,525,509,663,631,487,503,734,635,546,615,789
Operating Profit,113,124,70,108,166,129,99,149,180,116,96,104,263
OPM %,15%,19%,12%,18%,20%,17%,17%,23%,20%,15%,15%,14%,25%
Other Income +,9,14,14,12,13,9,6,4,8,1,2,3,5
Interest,2,3,3,3,1,2,3,3,4,6,7,10,9
Depreciation,35,30,32,34,35,32,36,37,42,73,83,89,88
Profit before tax,85,105,49,83,143,104,65,113,141,39,8,8,171
Tax %,-4%,36%,37%,36%,33%,10%,38%,35%,38%,21%,25%,-19%,28%
Net Profit +,88,68,31,53,96,93,41,74,88,31,6,9,123
EPS in Rs,2.19,1.67,0.77,1.31,2.38,2.31,1.01,1.82,2.17,0.77,0.14,0.22,3.05
Raw PDF,,,,,,,,,,,,,
