,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,64,86,89,105,104,92,89,111,116,93,105,127,125
Expenses +,51,56,58,72,78,65,68,71,75,66,76,77,92
Operating Profit,13,30,31,33,25,26,22,40,41,27,29,50,33
OPM %,20%,35%,35%,31%,24%,29%,24%,36%,35%,29%,28%,39%,27%
Other Income +,1,1,25,0,3,0,1,1,1,2,2,2,6
Interest,5,4,4,4,4,3,3,3,3,2,3,2,2
Depreciation,4,4,4,4,4,4,4,3,3,3,3,3,3
Profit before tax,5,23,48,26,21,19,16,35,35,23,26,46,34
Tax %,49%,30%,34%,33%,30%,32%,30%,30%,26%,44%,24%,26%,16%
Net Profit +,2,19,34,22,19,16,14,31,31,17,24,41,35
EPS in Rs,0.32,3.05,5.36,3.45,3.04,2.63,2.27,4.91,4.98,2.71,3.86,6.57,5.55
Raw PDF,,,,,,,,,,,,,
