,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,341,300,325,332,438,156,257,369,513,322,462,559,676
Expenses +,324,278,291,300,406,151,237,331,441,280,392,475,545
Operating Profit,16,23,34,31,33,4,20,38,72,42,69,85,131
OPM %,5%,8%,10%,9%,7%,3%,8%,10%,14%,13%,15%,15%,19%
Other Income +,3,2,2,4,1,1,1,2,1,4,12,9,10
Interest,13,10,13,12,12,15,12,13,11,12,10,14,15
Depreciation,3,4,4,9,7,6,6,6,6,7,6,6,7
Profit before tax,2,10,18,14,15,-15,3,21,56,28,64,74,119
Tax %,84%,36%,34%,-2%,35%,-20%,37%,24%,26%,25%,28%,25%,21%
Net Profit +,0,6,12,14,10,-12,2,16,42,21,46,55,94
EPS in Rs,0.05,0.24,0.43,0.52,0.34,-0.48,0.06,0.55,1.40,0.67,1.51,1.82,3.14
Raw PDF,,,,,,,,,,,,,
