,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,942,"1,039",944,"1,024","1,129","1,192","1,079","1,194","1,325","1,394","1,230","1,371","1,388"
Expenses +,806,900,821,891,978,"1,023",932,"1,027","1,134","1,208","1,056","1,174","1,187"
Operating Profit,136,139,124,133,151,169,147,167,191,186,174,196,201
OPM %,14%,13%,13%,13%,13%,14%,14%,14%,14%,13%,14%,14%,14%
Other Income +,1,1,1,0,2,1,1,0,2,11,1,1,2
Interest,23,23,23,24,26,33,26,25,25,25,24,23,22
Depreciation,39,40,41,42,43,45,45,46,42,40,41,42,43
Profit before tax,74,77,60,68,84,92,76,96,126,133,110,133,137
Tax %,26%,26%,25%,26%,26%,29%,25%,25%,26%,29%,27%,25%,25%
Net Profit +,55,57,45,51,63,65,57,71,93,94,80,100,102
EPS in Rs,2.38,2.45,1.96,2.20,2.71,2.81,2.48,3.11,4.04,4.07,3.49,4.33,4.44
Raw PDF,,,,,,,,,,,,,
