,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"2,675","2,681","2,373","2,322","2,289","2,263","2,222","2,426","2,539","2,513","2,445"
Expenses +,"2,517","2,516","2,197","2,155","2,118","2,078","2,060","2,253","2,358","2,344","2,312"
Operating Profit,158,165,176,167,170,185,162,173,182,169,133
OPM %,6%,6%,7%,7%,7%,8%,7%,7%,7%,7%,5%
Other Income +,17,25,28,-1,-18,-13,22,9,7,29,27
Interest,43,43,49,52,63,57,44,38,40,41,39
Depreciation,124,125,125,134,137,142,140,139,135,140,136
Profit before tax,8,22,29,-19,-48,-26,1,5,14,18,-15
Tax %,122%,-82%,45%,-37%,36%,54%,"-1,565%",-9%,46%,40%,57%
Net Profit +,-2,40,16,-12,-65,-41,10,5,7,11,-24
EPS in Rs,-0.11,1.08,0.44,-0.31,-1.80,-1.13,0.22,0.10,0.15,0.21,-0.56
Raw PDF,,,,,,,,,,,
