,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,334,359,371,325,336,301,308,304,300,339,344,371,393
Expenses +,282,301,312,273,275,250,262,263,237,283,299,308,329
Operating Profit,51,58,59,52,61,51,46,41,64,56,45,64,64
OPM %,15%,16%,16%,16%,18%,17%,15%,13%,21%,16%,13%,17%,16%
Other Income +,2,2,4,6,3,2,3,4,3,3,4,3,6
Interest,8,7,8,9,9,9,9,9,9,9,10,10,8
Depreciation,6,7,7,7,7,7,9,9,9,9,9,12,8
Profit before tax,39,47,48,42,49,37,31,27,49,40,30,44,53
Tax %,27%,27%,27%,25%,27%,23%,22%,23%,43%,24%,25%,23%,27%
Net Profit +,29,34,35,32,36,29,24,21,28,30,23,34,39
EPS in Rs,4.79,5.71,5.88,5.32,5.97,4.79,3.66,3.17,4.23,4.65,3.49,5.25,5.78
Raw PDF,,,,,,,,,,,,,
