,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,63,3,14,0,0,0,0,1,25,112,144,147,173
Expenses +,57,7,15,6,2,2,1,3,28,68,81,80,95
Operating Profit,5,-4,-2,-5,-1,-1,-1,-2,-3,44,63,68,78
OPM %,9%,-129%,-14%,"-1,627%","-1,327%",-750%,-277%,-429%,-13%,39%,44%,46%,45%
Other Income +,1,1,-0,-1,1,0,0,-101,-4,0,0,0,1
Interest,1,1,1,1,1,1,1,0,5,5,6,5,4
Depreciation,4,4,4,4,4,4,4,4,24,8,9,15,10
Profit before tax,2,-8,-7,-11,-5,-6,-5,-107,-36,32,49,48,66
Tax %,69%,-6%,-45%,-39%,6%,-12%,-25%,-49%,62%,28%,14%,14%,27%
Net Profit +,0,-8,-4,-7,-5,-5,-4,-55,-59,23,42,42,48
EPS in Rs,0.14,-2.08,-1.06,-1.76,-1.38,-1.29,-1.02,-12.95,-13.88,5.42,9.67,9.57,11.12
Raw PDF,,,,,,,,,,,,,
