,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Sep 2024
Equity Capital,12,12,24,24,24,24,24,24,24,24,24,24,24
Reserves,"2,160","2,567","2,975","3,668","4,444","4,840","5,415","6,137","7,353","8,614","9,021","10,288","11,469"
Borrowings +,"1,552","1,128","1,306",658,659,998,944,"1,616","1,792","2,668","1,397","1,418","1,478"
Other Liabilities +,547,604,986,"1,184","1,440","1,803","1,824","2,169","2,351","2,763","3,315","3,844","4,146"
Total Liabilities,"4,271","4,311","5,291","5,534","6,568","7,664","8,208","9,946","11,519","14,069","13,757","15,575","17,117"
Fixed Assets +,"1,072","1,170","1,374","1,450","1,797","2,284","2,530","2,908","2,793","2,902","2,683","2,873","2,807"
CWIP,0,0,111,172,299,381,493,363,393,339,323,159,292
Investments,478,588,481,509,553,444,324,261,333,371,622,484,"1,160"
Other Assets +,"2,721","2,553","3,325","3,403","3,918","4,555","4,861","6,413","8,000","10,457","10,129","12,060","12,858"
Total Assets,"4,271","4,311","5,291","5,534","6,568","7,664","8,208","9,946","11,519","14,069","13,757","15,575","17,117"
