,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,96,96,96,96,96,96,96,96,96,96,96,96
Reserves,"3,943","4,646","6,429","7,508","8,314","9,375","10,034","12,710","13,716","15,896","18,632","19,304"
Borrowings +,249,418,323,560,533,"1,320","1,118","1,093","1,587","1,933","2,474","2,290"
Other Liabilities +,"3,787","3,754","3,711","4,241","4,820","5,459","4,889","6,456","7,560","7,854","8,698","8,681"
Total Liabilities,"8,075","8,914","10,559","12,405","13,763","16,249","16,138","20,355","22,958","25,779","29,901","30,371"
Fixed Assets +,"2,562","2,660","3,416","3,304","3,732","6,497","6,272","5,859","5,519","5,770","7,147","9,220"
CWIP,72,196,107,258,"1,405",210,140,183,426,"1,020","2,698","1,254"
Investments,"1,424","1,588","2,712","2,652","2,141","2,569","2,019","4,737","3,248","4,262","4,588","4,725"
Other Assets +,"4,019","4,471","4,324","6,192","6,485","6,974","7,707","9,577","13,765","14,728","15,468","15,172"
Total Assets,"8,075","8,914","10,559","12,405","13,763","16,249","16,138","20,355","22,958","25,779","29,901","30,371"
