,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,"19,097","20,048","22,424","24,834","27,196","28,003","29,263","30,042","31,072","31,143","31,887","32,570","32,345"
Interest,"9,956","10,496","11,495","13,161","14,790","16,060","17,528","18,002","18,309","18,582","19,266","20,143","20,273"
Expenses +,"10,505","8,210","10,408","11,012","10,642","11,040","12,216","10,556","12,269","10,879","12,755","10,654","12,712"
Financing Profit,"-1,363","1,343",522,660,"1,764",902,-480,"1,484",494,"1,682",-134,"1,772",-640
Financing Margin %,-7%,7%,2%,3%,6%,3%,-2%,5%,2%,5%,-0%,5%,-2%
Other Income +,"3,373","1,528","3,896","5,519","5,332","5,316","6,503","5,042","6,538","4,658","7,568","5,163","7,551"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"2,010","2,871","4,418","6,179","7,096","6,217","6,023","6,526","7,033","6,340","7,434","6,935","6,911"
Tax %,6%,26%,26%,33%,28%,31%,28%,27%,29%,28%,27%,26%,23%
Net Profit +,"2,053","1,942","3,392","4,356","5,315","4,468","4,426","4,815","5,160","4,764","5,405","5,250","5,447"
EPS in Rs,3.93,3.76,6.58,8.33,10.16,8.61,8.50,9.26,9.92,9.14,10.36,10.08,10.48
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
