,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,389,436,604,604,604,604,604,604,604,604,604,"1,056"
Reserves,"6,095","5,337","4,387","4,739","2,842","-1,057","-3,062","-2,322","-1,421","-1,396","-2,768","-3,559"
Borrowings +,"47,333","49,929","39,444","21,484","23,441","27,580","34,442","36,864","26,633","32,157","35,905","38,218"
Other Liabilities +,"11,280","11,091","14,708","10,026","11,012","12,949","14,319","14,697","11,272","12,557","14,748","13,042"
Total Liabilities,"65,097","66,794","59,143","36,852","37,898","40,075","46,302","49,843","37,087","43,921","48,489","48,757"
Fixed Assets +,"33,639","34,183","34,513","15,773","15,643","16,080","16,178","12,772","10,325","15,157","28,737","28,224"
CWIP,"15,734","17,247","2,155",239,589,858,"3,811","6,622","10,176","11,175","1,674","3,802"
Investments,880,"1,413","6,545","12,422","12,871","10,115","10,119","9,674","3,798","4,478","4,425","4,288"
Other Assets +,"14,845","13,951","15,930","8,417","8,795","13,022","16,194","20,775","12,788","13,111","13,653","12,443"
Total Assets,"65,097","66,794","59,143","36,852","37,898","40,075","46,302","49,843","37,087","43,921","48,489","48,757"
