,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,537,537,537,537,966,970,971,972,972
Reserves,655,627,426,450,"4,673","5,313","6,439","7,436","8,409"
Borrowings +,874,981,"1,003","1,516","1,101",913,689,"1,299","3,010"
Other Liabilities +,"1,080","1,157","1,389","1,300","1,803","1,993","2,003","2,293","2,823"
Total Liabilities,"3,146","3,302","3,355","3,804","8,543","9,189","10,102","12,000","15,214"
Fixed Assets +,"2,244","2,227","2,192","2,380","6,536","7,018","7,039","8,784","11,502"
CWIP,46,38,87,6,27,151,252,553,900
Investments,0,0,1,1,1,1,1,2,3
Other Assets +,856,"1,036","1,075","1,418","1,980","2,020","2,810","2,661","2,809"
Total Assets,"3,146","3,302","3,355","3,804","8,543","9,189","10,102","12,000","15,214"
