,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,210,210,210,210,193,186,187,187,188,188,189,190
Reserves,"4,905","5,270","5,645","5,942","5,289","5,064","5,643","6,340","6,755","7,746","8,606","9,438"
Borrowings +,540,575,461,260,390,543,571,513,527,198,"1,544","1,888"
Other Liabilities +,"1,320","1,312","1,092",889,"1,109","1,576","2,339","2,324","3,214","3,373","3,662","3,390"
Total Liabilities,"6,974","7,367","7,408","7,301","6,980","7,368","8,740","9,365","10,684","11,506","14,000","14,907"
Fixed Assets +,"2,404","2,334","1,597","1,921","1,884","2,170","3,013","3,020","3,774","4,060","5,533","5,781"
CWIP,6,20,56,1,2,3,17,3,11,32,61,0
Investments,"1,815","1,443","2,122","2,396","1,782","1,329","1,326","1,846","1,813","1,753","3,090","2,208"
Other Assets +,"2,748","3,569","3,633","2,983","3,312","3,866","4,384","4,496","5,087","5,662","5,316","6,917"
Total Assets,"6,974","7,367","7,408","7,301","6,980","7,368","8,740","9,365","10,684","11,506","14,000","14,907"
