,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Equity Capital,227,227,227,227,227,227,227,253,271,374,376,376
Reserves,"8,283","9,039","9,949","11,105","13,463","15,736","17,915","21,464","25,824","43,138","48,571","56,094"
Borrowing,"38,630","46,695","49,790","53,080","82,131","87,914","94,735","106,546","114,846","164,202","195,496","234,197"
Other Liabilities +,"5,192","6,193","8,048","10,034","1,539","1,542","1,389","1,647","1,328","2,858","3,823","3,055"
Total Liabilities,"52,332","62,154","68,013","74,446","97,360","105,419","114,266","129,910","142,268","210,573","248,266","293,722"
Fixed Assets +,155,154,152,136,122,147,489,437,418,"3,714","3,718","2,914"
CWIP,0,0,0,0,0,0,0,0,0,66,0,0
Investments,"2,435","3,037","1,340","1,518","2,456","4,126","2,936","3,347","6,971","7,430","9,472","15,788"
Other Assets +,"49,742","58,962","66,522","72,791","94,782","101,146","110,841","126,126","134,879","199,363","235,076","275,020"
Total Assets,"52,332","62,154","68,013","74,446","97,360","105,419","114,266","129,910","142,268","210,573","248,266","293,722"
