Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"4,325","4,875","5,746","6,267","6,878","8,715","10,557","11,082","10,515","12,635","17,099","27,558"
Interest,"2,108","2,260","2,298","1,935","2,243","2,796","3,699","3,845","3,709","4,667","6,466","9,941"
Expenses+,"1,105","1,241","1,479","1,510","1,518","1,827","1,818","1,891","2,110","2,513","3,543","3,926"
Financing Profit,"1,112","1,374","1,969","2,822","3,117","4,092","5,040","5,347","4,696","5,455","7,091","13,691"
Financing Margin %,26%,28%,34%,45%,45%,47%,48%,48%,45%,43%,41%,50%
Other Income+,0,0,0,66,2,8,17,16,29,59,57,42
Depreciation,84,58,48,44,42,43,51,54,58,66,77,87
Profit before tax,"1,028","1,317","1,921","2,845","3,077","4,057","5,007","5,309","4,666","5,449","7,071","13,645"
Tax %,35%,39%,39%,38%,36%,26%,26%,26%,26%,26%,26%,26%
Net Profit+,671,810,"1,180","1,778","1,972","3,018","3,722","3,954","3,474","4,050","5,201","10,134"
EPS in Rs,16.85,20.29,29.53,44.43,49.22,75.26,92.78,98.53,86.52,100.87,129.54,252.43
Dividend Payout %,36%,30%,20%,23%,24%,20%,22%,20%,25%,24%,20%,12%
