Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"2,030","2,120","1,993","2,063","2,234","2,178","1,849","1,536","2,193","5,827","4,190","6,790"
Interest,"1,061",998,943,"1,013","1,018","1,124",875,509,595,955,"1,515","2,767"
Expenses+,774,836,"1,025",800,797,989,"1,723",623,607,817,"2,778","3,211"
Financing Profit,194,286,25,251,419,64,-748,404,990,"4,055",-103,812
Financing Margin %,10%,14%,1%,12%,19%,3%,-40%,26%,45%,70%,-2%,12%
Other Income+,15,19,34,35,34,41,28,30,-162,"-1,457",33,5
Depreciation,35,39,48,49,50,72,52,49,61,59,65,94
Profit before tax,175,266,11,237,403,34,-773,385,767,"2,539",-135,724
Tax %,15%,30%,43%,15%,32%,129%,-25%,24%,24%,19%,-27%,25%
Net Profit+,149,187,6,201,275,-10,-578,293,585,"2,056",-98,542
EPS in Rs,7.83,7.90,0.26,8.49,10.22,-0.37,-21.45,3.83,7.62,26.54,-1.26,6.67
Dividend Payout %,10%,10%,311%,9%,8%,0%,0%,10%,26%,8%,0%,0%
