,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,66,57,60,68,95,67,106,118,105,107,131,154,232
Expenses +,56,50,49,54,74,47,77,86,74,78,90,111,161
Operating Profit,10,7,10,15,21,20,30,32,31,29,41,43,71
OPM %,16%,12%,17%,22%,22%,30%,28%,27%,30%,28%,31%,28%,31%
Other Income +,1,2,3,2,1,3,4,3,3,3,4,5,5
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,10,8,12,16,22,22,33,35,34,32,44,47,75
Tax %,29%,26%,26%,26%,26%,25%,25%,25%,27%,25%,25%,26%,26%
Net Profit +,7,6,9,12,16,16,24,26,25,24,33,35,55
EPS in Rs,9.84,7.64,12.03,15.64,21.42,21.55,31.99,34.21,32.81,31.44,42.91,45.59,72.59
Raw PDF,,,,,,,,,,,,,
