,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,376,509,507,535,520,655,608,664,727,773,738,758,836
Expenses +,292,421,409,435,407,549,498,554,609,643,601,634,673
Operating Profit,84,89,98,101,113,106,110,111,118,130,137,124,163
OPM %,22%,17%,19%,19%,22%,16%,18%,17%,16%,17%,19%,16%,20%
Other Income +,3,0,0,0,2,0,1,1,4,1,1,3,4
Interest,4,5,7,11,11,15,18,23,21,21,27,31,34
Depreciation,16,17,17,19,10,22,23,22,31,23,24,25,27
Profit before tax,68,67,73,71,95,69,70,67,70,87,87,72,106
Tax %,23%,21%,21%,-4%,10%,13%,13%,5%,7%,18%,15%,12%,4%
Net Profit +,53,53,58,73,85,61,61,63,65,71,74,63,102
EPS in Rs,3.96,3.96,4.34,5.49,6.41,4.56,4.57,4.76,4.88,5.35,5.54,4.72,7.63
Raw PDF,,,,,,,,,,,,,
