,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,92,77,77,96,137,138,191,207,215,201,247,209,253
Expenses +,66,61,61,72,92,102,142,141,147,148,172,150,157
Operating Profit,26,16,16,24,45,36,49,67,67,53,76,60,96
OPM %,28%,21%,20%,25%,33%,26%,25%,32%,31%,26%,31%,28%,38%
Other Income +,1,2,2,2,2,2,3,3,2,5,2,2,2
Interest,5,5,5,7,6,7,10,11,12,13,15,16,22
Depreciation,1,1,1,1,1,1,2,2,2,2,2,2,3
Profit before tax,21,12,12,18,40,29,40,56,55,43,61,43,74
Tax %,27%,34%,29%,24%,25%,28%,25%,28%,29%,26%,23%,29%,28%
Net Profit +,15,8,8,14,30,21,30,40,39,32,46,31,54
EPS in Rs,0.77,0.39,0.42,0.71,1.52,1.08,1.48,1.98,1.93,1.48,2.31,1.47,2.59
Raw PDF,,,,,,,,,,,,,
