,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,821,843,778,730,715,658,664,625,641,690,759,701,746
Expenses +,676,700,665,665,654,622,602,582,597,622,672,638,676
Operating Profit,145,143,113,65,61,35,61,42,44,68,87,63,70
OPM %,18%,17%,15%,9%,9%,5%,9%,7%,7%,10%,11%,9%,9%
Other Income +,19,7,11,21,13,20,11,14,23,17,20,23,15
Interest,11,12,10,17,17,18,22,23,26,23,25,25,27
Depreciation,18,16,17,20,22,21,22,23,24,24,24,25,26
Profit before tax,135,123,97,49,35,16,29,10,18,37,57,36,33
Tax %,20%,24%,25%,6%,8%,11%,25%,-10%,12%,16%,20%,19%,17%
Net Profit +,108,93,73,46,32,14,22,11,15,31,46,30,27
EPS in Rs,39.63,34.23,26.86,16.74,12.12,5.30,8.21,4.33,5.86,11.79,17.43,11.26,10.32
Raw PDF,,,,,,,,,,,,,
