,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,119,260,268,300,357,527,429,343,564,669,768,"1,025"
Expenses +,110,251,247,281,337,478,384,317,504,606,691,920
Operating Profit,10,9,21,19,20,48,45,26,60,63,77,105
OPM %,8%,4%,8%,6%,5%,9%,11%,7%,11%,9%,10%,10%
Other Income +,0,2,2,5,3,6,3,8,3,3,3,7
Interest,7,5,10,9,9,13,15,12,13,16,21,15
Depreciation,2,2,2,2,2,8,9,8,8,8,9,11
Profit before tax,0,4,10,12,11,33,24,13,42,42,51,86
Tax %,0%,30%,32%,35%,35%,35%,24%,26%,26%,26%,26%,24%
Net Profit +,0,3,7,8,7,21,18,10,31,31,38,65
EPS in Rs,0.38,2.54,6.80,7.42,3.38,9.64,8.28,4.47,14.04,14.09,17.16,26.75
Dividend Payout %,0%,0%,0%,0%,7%,3%,3%,6%,4%,4%,3%,2%
