,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,242,242,241,233,283,302,263,294,318,316,315
Expenses +,211,208,214,202,242,258,225,252,268,270,267
Operating Profit,31,34,27,31,40,45,38,42,50,47,48
OPM %,13%,14%,11%,13%,14%,15%,14%,14%,16%,15%,15%
Other Income +,2,3,3,1,3,2,6,2,2,4,3
Interest,5,6,5,5,9,7,1,0,0,0,2
Depreciation,3,3,3,3,5,5,3,5,5,5,10
Profit before tax,25,28,21,25,30,35,40,39,47,46,39
Tax %,24%,31%,19%,28%,24%,29%,27%,25%,25%,25%,25%
Net Profit +,19,20,17,18,23,25,29,29,35,34,30
EPS in Rs,3.91,4.08,3.59,3.66,4.77,4.39,5.02,5.15,6.12,5.98,5.17
Raw PDF,,,,,,,,,,,
