,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,134","1,131","1,104","1,219","1,425","1,282","1,292","1,487","1,633"
Expenses +,975,969,945,"1,039","1,222","1,097","1,104","1,268","1,398"
Operating Profit,159,162,160,179,203,184,188,219,235
OPM %,14%,14%,14%,15%,14%,14%,15%,15%,14%
Other Income +,9,7,6,7,9,9,8,7,10
Interest,27,27,27,33,37,33,33,47,43
Depreciation,41,41,42,43,41,41,41,42,45
Profit before tax,100,100,96,111,134,120,122,136,157
Tax %,26%,27%,23%,26%,26%,28%,26%,27%,27%
Net Profit +,74,73,73,83,102,87,90,100,114
EPS in Rs,9.76,9.63,9.71,10.92,13.46,11.48,11.92,13.21,15.09
Raw PDF,,,,,,,,,
