,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,11.73,2.25,2.34,37.49,12.57,3.24,3.48,38.68,4.36,20.29,4.81,46.35,5.62
Expenses +,0.57,1.11,3.13,0.57,0.48,1.59,0.62,1.16,1.31,1.43,0.77,0.80,5.13
Operating Profit,11.16,1.14,-0.79,36.92,12.09,1.65,2.86,37.52,3.05,18.86,4.04,45.55,0.49
OPM %,95.14%,50.67%,-33.76%,98.48%,96.18%,50.93%,82.18%,97.00%,69.95%,92.95%,83.99%,98.27%,8.72%
Other Income +,14.20,6.49,0.00,7.79,8.32,11.29,2.17,3.94,5.06,17.90,1.60,5.74,5.39
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Depreciation,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02
Profit before tax,25.33,7.61,-0.81,44.68,20.38,12.92,5.01,41.43,8.08,36.74,5.62,51.26,5.86
Tax %,25.94%,20.50%,-23.46%,25.09%,22.87%,26.47%,25.75%,25.01%,24.88%,20.58%,25.98%,24.97%,44.71%
Net Profit +,18.76,6.04,-0.62,33.48,15.73,9.50,3.72,31.08,6.08,29.17,4.17,38.47,3.23
EPS in Rs,42.98,13.84,-1.42,76.70,36.03,21.76,8.52,71.20,13.93,66.82,9.55,88.13,7.40
Raw PDF,,,,,,,,,,,,,
