,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,256,304,346,351,340,366,339,351,394,404,416,418,440
Expenses +,242,287,338,317,310,311,289,306,356,354,359,362,389
Operating Profit,14,17,8,34,31,55,50,45,38,51,57,56,51
OPM %,5%,6%,2%,10%,9%,15%,15%,13%,10%,13%,14%,13%,12%
Other Income +,0,-6,0,1,1,1,2,0,1,2,2,1,5
Interest,1,2,1,1,1,2,1,1,1,2,1,1,1
Depreciation,3,3,3,4,4,4,4,4,5,5,5,5,5
Profit before tax,10,5,3,30,27,49,47,40,32,45,52,50,49
Tax %,26%,27%,27%,26%,25%,26%,25%,25%,25%,26%,25%,26%,30%
Net Profit +,7,4,2,22,20,37,35,30,24,34,39,37,35
EPS in Rs,6.16,3.30,2.04,18.24,16.70,30.24,28.93,24.44,20.09,27.70,32.26,30.77,28.60
Raw PDF,,,,,,,,,,,,,
