,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,144,145,149,183,146,139,150,185
Expenses +,129,127,128,156,130,121,130,158
Operating Profit,15,18,21,27,17,18,20,27
OPM %,11%,12%,14%,15%,11%,13%,13%,14%
Other Income +,0,0,0,1,0,1,2,2
Interest,3,4,4,4,4,4,2,2
Depreciation,1,1,1,2,2,2,2,2
Profit before tax,11,13,16,22,11,13,18,25
Tax %,27%,34%,26%,27%,31%,29%,24%,31%
Net Profit +,8,9,12,16,8,10,14,17
EPS in Rs,5.92,6.42,2.15,2.89,1.42,1.49,2.11,2.66
Raw PDF,,,,,,,,
