,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,534,588,686,697,630,721,711,706,630,653,634,606,592
Expenses +,403,453,542,529,444,557,538,520,452,469,456,414,382
Operating Profit,132,135,144,168,186,164,174,186,179,184,179,192,210
OPM %,25%,23%,21%,24%,30%,23%,24%,26%,28%,28%,28%,32%,35%
Other Income +,16,11,38,22,22,20,21,25,19,21,18,22,13
Interest,1,1,1,1,2,1,1,1,4,2,2,2,7
Depreciation,46,46,44,48,66,49,50,51,52,51,52,55,56
Profit before tax,101,98,137,141,141,134,143,159,142,152,143,157,161
Tax %,35%,-75%,34%,22%,30%,25%,24%,25%,26%,25%,26%,26%,27%
Net Profit +,66,172,91,110,99,100,109,120,105,114,106,116,118
EPS in Rs,7.74,20.15,10.66,12.90,11.64,11.71,12.75,14.08,12.36,13.33,12.48,13.64,13.88
Raw PDF,,,,,,,,,,,,,
