,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.68,35.53,82.28,91.86
Expenses +,44.90,49.23,40.12,42.87,44.78,296.36,672.78,52.81,35.92,57.32,46.57,58.74,70.69
Operating Profit,-44.90,-49.23,-40.12,-42.87,-44.78,-296.36,-672.78,-52.81,-35.92,25.36,-11.04,23.54,21.17
OPM %,,,,,,,,,,30.67%,-31.07%,28.61%,23.05%
Other Income +,79.98,75.00,74.67,69.09,61.99,54.15,53.92,28.39,17.35,6.38,10.49,6.64,5.26
Interest,0.01,0.01,0.01,0.00,0.00,0.96,4.28,21.45,31.73,30.00,24.43,30.61,22.74
Depreciation,8.82,9.01,8.70,6.84,4.85,15.00,14.96,2.50,2.11,15.31,2.24,4.88,2.46
Profit before tax,26.25,16.75,25.84,19.38,12.36,-258.17,-638.10,-48.37,-52.41,-13.57,-27.22,-5.31,1.23
Tax %,51.01%,62.57%,31.50%,43.55%,46.93%,-2.02%,-29.22%,58.57%,-24.35%,6.78%,-39.24%,-153.11%,
Net Profit +,12.86,6.26,17.70,10.94,6.56,-252.96,-451.63,-76.69,-39.65,-14.49,-16.54,2.82,4.71
EPS in Rs,21.43,10.43,29.50,18.23,10.93,-421.60,-752.72,-127.82,-66.08,-24.15,-27.57,4.70,7.85
Dividend Payout %,15.02%,9.97%,15.02%,14.59%,13.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
