,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"3,990","5,325","6,361","7,301","8,464","9,610","8,672","5,206","2,825","1,605","2,472",604,"1,594"
Expenses +,"3,507","4,726","5,631","6,543","7,699","8,620","8,374","4,749","2,410","1,696","2,216",774,"1,346"
Operating Profit,482,599,730,758,765,990,298,457,415,-91,256,-170,248
OPM %,12%,11%,11%,10%,9%,10%,3%,9%,15%,-6%,10%,-28%,16%
Other Income +,20,36,59,50,97,92,77,80,24,53,163,64,137
Interest,127,153,227,251,286,324,354,374,396,442,499,505,136
Depreciation,10,12,23,23,22,21,19,37,35,28,27,20,17
Profit before tax,365,469,540,534,554,737,2,125,8,-508,-108,-632,232
Tax %,20%,24%,30%,25%,24%,27%,70%,34%,-694%,-23%,88%,-0%,
Net Profit +,291,356,378,398,421,536,1,83,62,-391,-203,-629,361
EPS in Rs,0.81,0.99,1.06,1.11,1.18,1.36,0.00,0.21,0.13,-0.84,-0.44,-1.35,0.71
Dividend Payout %,6%,15%,15%,15%,4%,4%,0%,0%,0%,0%,0%,0%,
