,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,244.04,229.03,240.00,283.69,277.88,278.57,262.77,254.46,257.71,256.19,255.32,225.07,194.55
Expenses +,206.68,203.61,213.58,250.42,251.48,254.05,240.20,226.75,229.48,234.52,231.06,202.26,186.40
Operating Profit,37.36,25.42,26.42,33.27,26.40,24.52,22.57,27.71,28.23,21.67,24.26,22.81,8.15
OPM %,15.31%,11.10%,11.01%,11.73%,9.50%,8.80%,8.59%,10.89%,10.95%,8.46%,9.50%,10.13%,4.19%
Other Income +,0.84,18.94,0.98,3.32,20.45,8.38,7.48,5.30,31.51,5.61,7.81,13.76,2.19
Interest,1.66,1.98,1.50,1.67,2.09,2.98,1.90,1.86,2.36,2.21,1.92,1.78,1.53
Depreciation,18.91,33.90,18.73,18.42,19.48,18.61,19.42,20.56,21.35,20.25,15.22,15.12,13.33
Profit before tax,17.63,8.48,7.17,16.50,25.28,11.31,8.73,10.59,36.03,4.82,14.93,19.67,-4.52
Tax %,34.03%,17.69%,41.70%,20.06%,29.63%,1.77%,52.92%,20.30%,32.11%,30.50%,22.10%,57.30%,40.93%
Net Profit +,11.63,6.97,4.19,13.19,17.80,11.11,4.11,8.43,24.46,3.35,11.62,8.40,-6.36
EPS in Rs,1.22,0.73,0.44,1.39,1.87,1.17,0.43,0.89,2.58,0.35,1.22,0.88,-0.67
Raw PDF,,,,,,,,,,,,,
