,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,103.71,61.08,100.94,66.80,49.28,51.44,78.36,81.92,80.03,70.29,73.49,70.61,65.14
Expenses +,68.84,60.03,72.56,78.17,65.45,66.52,67.39,70.30,69.99,67.70,70.42,74.38,73.62
Operating Profit,34.87,1.05,28.38,-11.37,-16.17,-15.08,10.97,11.62,10.04,2.59,3.07,-3.77,-8.48
OPM %,33.62%,1.72%,28.12%,-17.02%,-32.81%,-29.32%,14.00%,14.18%,12.55%,3.68%,4.18%,-5.34%,-13.02%
Other Income +,5.67,3.20,5.40,3.47,10.06,4.73,5.69,4.15,6.82,5.06,5.20,4.91,5.60
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.05,0.06,0.06
Depreciation,4.58,3.95,4.14,4.17,3.73,2.93,3.25,3.24,3.18,2.79,3.15,3.39,3.63
Profit before tax,35.96,0.30,29.64,-12.07,-9.84,-13.28,13.41,12.53,13.55,4.81,5.07,-2.31,-6.57
Tax %,21.89%,40.00%,25.24%,-23.03%,-32.52%,-3.92%,3.80%,19.71%,-3.62%,16.22%,18.15%,-104.76%,-50.53%
Net Profit +,28.09,0.18,22.16,-9.29,-6.64,-12.76,12.90,10.06,14.04,4.03,4.15,0.11,-3.25
EPS in Rs,4.84,0.03,3.82,-1.75,-1.25,-2.40,2.43,1.89,2.62,0.75,0.77,0.02,-0.60
Raw PDF,,,,,,,,,,,,,
