,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"6,751","6,560","7,694","8,241","7,099","7,255","8,885","9,698","8,281","12,812","21,452","16,981","17,084"
Expenses +,"6,163","5,992","6,840","7,766","6,680","6,986","8,448","9,111","7,527","11,820","19,968","16,461","16,394"
Operating Profit,588,568,853,475,419,268,437,586,754,992,"1,483",520,689
OPM %,9%,9%,11%,6%,6%,4%,5%,6%,9%,8%,7%,3%,4%
Other Income +,93,73,66,81,66,61,104,26,133,263,236,204,159
Interest,134,137,123,147,96,64,157,239,181,130,234,190,252
Depreciation,176,145,263,148,141,137,156,171,175,184,212,233,249
Profit before tax,372,359,533,262,249,128,229,202,530,942,"1,273",301,348
Tax %,27%,33%,35%,35%,28%,39%,42%,-3%,28%,25%,24%,25%,
Net Profit +,273,241,346,169,179,79,133,207,384,702,966,225,265
EPS in Rs,4.95,4.37,6.27,3.06,3.25,1.43,2.41,3.75,6.96,12.73,17.52,4.08,4.81
Dividend Payout %,30%,34%,29%,36%,34%,42%,32%,76%,43%,30%,30%,30%,
