,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Revenue +,230,246,264,279,298,314,334,361
Interest,89,89,85,88,95,100,106,118
Expenses +,75,83,90,90,94,100,105,113
Financing Profit,66,74,89,100,109,114,122,130
Financing Margin %,29%,30%,34%,36%,37%,36%,37%,36%
Other Income +,0,0,0,1,0,0,0,0
Depreciation,3,3,3,4,4,4,5,5
Profit before tax,63,71,86,97,105,110,118,125
Tax %,25%,26%,25%,24%,25%,24%,25%,25%
Net Profit +,47,53,64,74,79,84,88,94
EPS in Rs,0.51,0.49,0.60,0.69,0.73,0.78,0.82,0.87
Gross NPA %,,,,,,,,
Net NPA %,,,,,,,,
Raw PDF,,,,,,,,
