,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,360.82,330.07,338.37,394.75,380.62,352.31,425.24,211.94,299.43,363.49,346.95,300.31,273.01
Expenses +,347.29,317.52,310.80,349.75,331.85,333.19,387.61,373.63,289.67,321.57,285.64,242.63,227.64
Operating Profit,13.53,12.55,27.57,45.00,48.77,19.12,37.63,-161.69,9.76,41.92,61.31,57.68,45.37
OPM %,3.75%,3.80%,8.15%,11.40%,12.81%,5.43%,8.85%,-76.29%,3.26%,11.53%,17.67%,19.21%,16.62%
Other Income +,4.76,6.98,3.72,7.17,4.68,2.04,-4.04,-62.32,-120.48,0.56,0.32,1.49,5.95
Interest,21.47,22.50,21.96,23.64,21.96,24.61,24.44,25.37,30.69,30.87,28.28,26.54,29.12
Depreciation,27.82,28.13,28.63,27.98,26.45,25.91,26.21,25.96,25.25,25.07,25.34,24.54,24.30
Profit before tax,-31.00,-31.10,-19.30,0.55,5.04,-29.36,-17.06,-275.34,-166.66,-13.46,8.01,8.09,-2.10
Tax %,-105.84%,-47.11%,-48.29%,21.82%,25.40%,-34.91%,0.00%,0.00%,53.28%,0.00%,0.00%,0.00%,0.00%
Net Profit +,1.81,-16.45,-9.98,0.43,3.76,-19.11,-17.06,-275.34,-255.45,-13.46,8.01,8.09,-2.10
EPS in Rs,0.39,-3.42,-2.08,0.09,0.79,-4.07,-3.58,-57.36,-53.20,-3.74,2.22,2.24,-0.58
Raw PDF,,,,,,,,,,,,,
