,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,227.69,188.45,333.23,223.52,275.79,310.95,411.60,345.37
Expenses +,193.56,179.86,257.38,199.93,233.80,286.58,328.28,305.45
Operating Profit,34.13,8.59,75.85,23.59,41.99,24.37,83.32,39.92
OPM %,14.99%,4.56%,22.76%,10.55%,15.23%,7.84%,20.24%,11.56%
Other Income +,1.54,1.15,5.93,1.32,-7.62,2.17,1.89,1.77
Interest,11.03,13.10,11.37,13.93,14.08,15.92,17.34,21.69
Depreciation,17.02,17.54,19.15,19.75,20.93,22.49,27.09,29.38
Profit before tax,7.62,-20.90,51.26,-8.77,-0.64,-11.87,40.78,-9.38
Tax %,27.56%,-25.98%,25.24%,-26.57%,-34.38%,-24.68%,25.38%,-31.88%
Net Profit +,5.52,-15.48,38.32,-6.43,-0.42,-8.94,30.42,-6.39
EPS in Rs,1.58,-2.22,5.49,-0.92,-0.06,-1.20,4.08,-0.86
Raw PDF,,,,,,,,
