,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,744","6,510","6,703","6,443","6,038","7,328","6,961","6,366","6,529","9,034","7,176","6,499","6,456"
Expenses +,"2,753","5,450","5,539","4,999","4,947","6,143","5,740","5,322","5,420","7,176","5,968","5,388","5,326"
Operating Profit,991,"1,060","1,164","1,444","1,090","1,185","1,221","1,044","1,109","1,858","1,207","1,112","1,130"
OPM %,26%,16%,17%,22%,18%,16%,18%,16%,17%,21%,17%,17%,18%
Other Income +,"-1,203",108,94,84,96,86,108,54,97,76,125,172,114
Interest,151,186,215,228,189,227,247,235,233,260,272,276,236
Depreciation,340,312,319,322,329,332,342,349,355,359,371,378,389
Profit before tax,-703,671,725,977,668,711,741,513,617,"1,315",689,630,619
Tax %,-31%,25%,33%,29%,28%,25%,27%,27%,28%,24%,28%,22%,-74%
Net Profit +,-487,502,484,695,484,532,543,374,447,996,496,489,"1,077"
EPS in Rs,-10.15,10.45,10.02,14.24,9.34,10.76,10.94,7.49,8.95,20.23,10.01,9.44,21.03
Raw PDF,,,,,,,,,,,,,
