,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,977,837,"1,392",916,"1,088","1,358","1,946"
Expenses +,860,741,"1,224",796,950,"1,178","1,710"
Operating Profit,117,96,169,120,138,179,236
OPM %,12%,11%,12%,13%,13%,13%,12%
Other Income +,6,19,24,14,8,10,16
Interest,43,42,41,44,46,49,59
Depreciation,13,12,13,13,13,14,16
Profit before tax,68,61,139,77,87,126,177
Tax %,32%,20%,29%,33%,36%,26%,28%
Net Profit +,46,49,100,52,55,93,127
EPS in Rs,18.67,19.60,8.04,4.17,4.41,6.94,9.43
Raw PDF,,,,,,,
