,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,328","3,537","1,596","2,936","3,409","3,574","3,457","4,004"
Expenses +,"2,861","3,020","1,425","2,518","2,856","3,050","2,736","3,081"
Operating Profit,468,517,171,418,552,525,722,923
OPM %,14%,15%,11%,14%,16%,15%,21%,23%
Other Income +,87,21,105,364,88,89,88,133
Interest,40,33,18,48,34,31,31,57
Depreciation,57,71,74,75,76,84,89,153
Profit before tax,457,435,184,659,531,499,690,845
Tax %,26%,26%,23%,28%,24%,25%,27%,24%
Net Profit +,338,320,141,475,401,376,507,644
EPS in Rs,17.05,15.98,6.32,23.41,19.99,13.73,17.15,21.54
Raw PDF,,,,,,,,
