,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,218,249,232,230,249,270,235,239,240,246,234,234,250
Expenses +,184,213,202,197,208,222,198,203,205,209,201,208,219
Operating Profit,35,36,31,32,42,48,37,36,35,37,33,26,32
OPM %,16%,15%,13%,14%,17%,18%,16%,15%,14%,15%,14%,11%,13%
Other Income +,11,7,10,10,10,11,11,11,12,11,9,8,9
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,2,2,2,2,2,2,3,3,2,3,3,3
Profit before tax,44,41,38,40,49,56,45,44,44,45,39,31,38
Tax %,18%,17%,17%,18%,18%,17%,18%,18%,18%,18%,18%,19%,18%
Net Profit +,36,34,32,33,40,46,37,36,36,37,32,25,31
EPS in Rs,2.43,2.30,2.15,2.25,2.80,3.24,2.61,2.55,2.49,2.60,2.23,1.77,2.17
Raw PDF,,,,,,,,,,,,,
