,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,509,608,616,640,668,858,940,935,"1,308","2,314","2,346","1,634","1,458"
Expenses +,429,517,515,514,519,676,747,754,935,"1,691","1,736","1,310","1,188"
Operating Profit,80,91,102,127,149,182,193,181,373,623,609,324,270
OPM %,16%,15%,17%,20%,22%,21%,21%,19%,29%,27%,26%,20%,19%
Other Income +,4,3,4,3,9,12,4,5,6,15,15,30,34
Interest,25,32,35,22,13,9,13,23,18,17,12,6,4
Depreciation,13,16,20,19,20,19,20,32,34,42,46,45,48
Profit before tax,46,46,51,88,126,166,165,131,327,578,567,302,252
Tax %,32%,27%,35%,34%,34%,32%,29%,26%,25%,28%,28%,23%,
Net Profit +,31,34,33,58,82,113,117,97,243,418,406,232,191
EPS in Rs,9.62,10.34,10.25,17.78,25.42,34.93,36.27,32.34,73.51,113.71,100.47,63.22,57.25
Dividend Payout %,14%,10%,12%,11%,9%,7%,8%,10%,5%,5%,10%,17%,
