,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"104,080","121,082","114,820","119,170","118,115","112,985","103,044","115,499","116,555","113,095","102,785","113,166","111,230"
Expenses +,"98,126","126,906","113,406","114,957","107,031","97,200","90,104","109,300","107,600","107,468","98,268","105,710","103,494"
Operating Profit,"5,954","-5,824","1,415","4,213","11,085","15,785","12,941","6,199","8,955","5,627","4,517","7,456","7,737"
OPM %,6%,-5%,1%,4%,9%,14%,13%,5%,8%,5%,4%,7%,7%
Other Income +,"1,131",615,673,415,523,"1,003",911,919,403,807,"1,278",548,"1,061"
Interest,752,710,937,"1,128","1,148","1,071","1,190",920,967,889,923,861,919
Depreciation,"1,603","1,617","1,561","1,586","1,605","1,614","1,605","1,830","1,722","1,686","1,779","1,810","1,982"
Profit before tax,"4,730","-7,537",-410,"1,913","8,854","14,103","11,056","4,367","6,669","3,859","3,094","5,333","5,897"
Tax %,41%,-18%,-17%,9%,22%,25%,25%,27%,28%,26%,26%,29%,26%
Net Profit +,"2,803","-6,148",-338,"1,747","6,870","10,644","8,244","3,181","4,790","2,842","2,297","3,806","4,392"
EPS in Rs,6.46,-14.17,-0.78,4.03,15.84,24.53,19.00,7.33,11.04,6.55,5.29,8.77,10.12
Raw PDF,,,,,,,,,,,,,
