,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,873","2,851","2,740","3,236","2,720","2,780","2,708","3,035","2,399","2,876","2,957","3,367","2,877"
Expenses +,"2,239","2,415","2,470","2,682","2,374","2,614","2,594","2,590","2,134","2,629","2,776","2,871","2,472"
Operating Profit,635,436,270,554,346,166,114,445,265,248,181,496,405
OPM %,22%,15%,10%,17%,13%,6%,4%,15%,11%,9%,6%,15%,14%
Other Income +,28,28,32,33,26,17,22,35,24,26,54,41,21
Interest,17,17,11,13,12,25,15,15,32,29,38,43,43
Depreciation,61,61,63,66,71,72,74,77,80,86,101,109,114
Profit before tax,585,387,228,509,289,86,47,389,177,158,96,386,270
Tax %,31%,34%,44%,33%,35%,34%,32%,38%,33%,37%,34%,32%,34%
Net Profit +,401,254,128,342,187,57,32,240,118,100,63,262,179
EPS in Rs,25.73,16.29,8.22,21.94,11.97,3.63,2.07,15.42,7.55,6.43,4.03,16.81,11.47
Raw PDF,,,,,,,,,,,,,
