,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,218,250,270,273,214,273,261,210,185,181,188,187,183
Expenses +,149,163,170,171,154,177,161,154,137,150,154,138,142
Operating Profit,69,88,100,102,60,96,100,56,48,31,34,49,41
OPM %,32%,35%,37%,37%,28%,35%,38%,27%,26%,17%,18%,26%,22%
Other Income +,12,6,10,12,19,14,12,13,61,17,19,-16,211
Interest,2,2,2,3,2,2,3,3,3,2,2,1,1
Depreciation,16,14,15,15,15,16,17,16,13,14,14,13,13
Profit before tax,64,78,93,96,62,92,92,50,93,32,38,19,237
Tax %,24%,26%,27%,12%,17%,26%,25%,30%,22%,32%,28%,-90%,31%
Net Profit +,48,57,69,85,51,68,69,35,72,22,27,36,165
EPS in Rs,1.80,2.14,2.55,3.17,1.91,2.54,2.59,1.29,2.70,0.81,1.01,1.33,6.15
Raw PDF,,,,,,,,,,,,,
