,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,103,99,109,134,126,104,117,161,151,114,114,159,158
Expenses +,85,93,88,121,114,94,96,115,123,106,102,128,129
Operating Profit,17,6,21,12,11,11,22,46,28,8,11,30,29
OPM %,17%,6%,19%,9%,9%,10%,19%,29%,18%,7%,10%,19%,19%
Other Income +,3,4,2,9,7,9,6,6,8,9,11,7,12
Interest,4,4,5,4,4,4,4,4,4,4,3,3,4
Depreciation,22,21,23,23,21,20,20,20,21,20,20,21,22
Profit before tax,-6,-16,-5,-6,-7,-3,4,28,11,-7,-2,12,16
Tax %,-10%,-13%,-90%,29%,4%,-6%,17%,14%,20%,-25%,121%,25%,23%
Net Profit +,-5,-14,-1,-8,-7,-3,3,24,9,-5,-4,9,12
EPS in Rs,-1.05,-2.86,-0.13,-1.77,-1.54,-0.72,0.69,5.01,1.82,-1.15,-0.87,1.92,2.53
Raw PDF,,,,,,,,,,,,,
